latitude,longitude,res
32.7186111,-114.7188889,-0.0018387013453855037
31.47,-110.9922222,-0.002114488673710218
34.0730556,-111.7163889,0.0071856069376515595
33.6194444,-110.9213889,0.006729373871628758
33.1855556,-110.22,0.008437469988203179
34.8513889,-112.0661111,0.005097414865118396
34.8952228,-112.2054456,0.008307779429320839
33.5730556,-110.9011111,-0.010844889753993173
31.38,-110.1108333,-0.008376455190888
32.8695,-109.51175,0.005039252598014891
34.8244444,-111.8063889,-0.006541500221342377
35.0247778,-111.7358611,0.014856798715203717
31.9055556,-110.2461111,0.004640779259524728
33.5527778,-111.5763889,-0.003948638944569522
34.4789722,-111.80025,-0.005086887667016801
31.4415,-109.9189722,-0.014370717609210208
31.3416667,-110.9331389,-0.0009607677829411248
31.3369444,-110.8498056,-0.011164022534745981
33.99375,-109.4651389,0.025092627365251273
32.3537111,-111.09685,0.010710775370962914
34.6704778,-110.0445528,0.009805192923204793
33.2291667,-112.7675,0.02748751387133002
31.4414911,-109.8254953,0.07612049267614879
33.8320556,-109.1091667,-0.006058456561967585
33.80825,-111.6636111,-0.0015497772259899394
34.1608333,-111.6930556,-0.023787878787876714
33.9811389,-111.3021944,-0.0018910690187005645
33.5506111,-110.9906667,-0.007078368413792129
36.8647222,-111.5883333,-0.005412732660843123
31.6252778,-110.1741667,-0.002393594449276931
32.7608889,-114.4205,-0.007508532402434428
34.0155556,-112.1680556,-9.535005224656986e-05
32.0191667,-110.6455556,-0.010609248687927205
34.3666667,-113.1934444,-0.016830413676656598
34.6183611,-113.3029722,-0.000737955703899235
34.6634167,-113.5805,-0.0004925462905351021
33.2921667,-109.1953056,-0.008933291843721432
33.0079167,-109.3156944,-0.0007023287174560661
33.9379444,-112.6996944,0.0028832153448772263
34.2992778,-111.3583889,0.002747513863378653
34.6744722,-111.6720833,-0.007577522369639364
34.0451667,-112.7101111,-0.00742957997906398
34.1517778,-109.2945278,-0.006026672194582375
31.5496944,-110.1367222,-0.012678790138061037
31.7253056,-110.1946389,-0.005783580519007245
34.2763889,-111.6388889,0.004193422105061817
34.6752317,-111.9394794,0.0015489766081868005
34.94675,-113.6166667,0.004257743969298262
34.6411389,-113.2043611,0.006267457934124433
32.3318103,-110.4139122,-0.03111641351943077
34.0796208,-111.7018136,0.0009144155516284296
34.2333333,-112.546,-0.005975133296561892
34.3007783,-114.1376314,0.003738857626305063
32.8955556,-110.5677778,0.008187511930025152
32.91102,-110.5503894,-0.0031246338792251687
31.6483333,-111.0491667,0.029162668670500925
33.122,-110.9762222,-0.02254095449217427
34.38719,-112.02144,-0.0020478241528386577
31.6130556,-111.0413889,-0.005502963496371888
33.6844894,-109.0830556,-0.02265633573388172
32.1870631,-110.8166022,-0.02911463554119937
34.4531836,-114.3365842,0.0016520739305272156
