Prod. Year,Prod Qtr.,Mine ID,Subunit,Type,Quarterly Hrs.,Coal Prod.,Avg. Empl Cnt.
2016,20164,0200137,03,"STRIP, QUARY, OPEN PIT","220,418 ",0 ,484 
2016,20164,0200137,30,MILL OPERATION/PREPARATION PLANT,"110,544 ",0 ,214 
2016,20164,0200137,99,OFFICE WORKERS AT MINE SITE,"45,131 ",0 ,95 
2015,20151,0200137,03,"STRIP, QUARY, OPEN PIT","273,181 ",0 ,530 
2015,20151,0200137,30,MILL OPERATION/PREPARATION PLANT,"121,228 ",0 ,236 
2015,20151,0200137,99,OFFICE WORKERS AT MINE SITE,"53,783 ",0 ,104 
2015,20152,0200137,03,"STRIP, QUARY, OPEN PIT","286,291 ",0 ,546 
2015,20152,0200137,30,MILL OPERATION/PREPARATION PLANT,"125,366 ",0 ,241 
2015,20152,0200137,99,OFFICE WORKERS AT MINE SITE,"56,135 ",0 ,107 
2015,20153,0200137,03,"STRIP, QUARY, OPEN PIT","278,778 ",0 ,539 
2015,20153,0200137,30,MILL OPERATION/PREPARATION PLANT,"125,204 ",0 ,240 
2015,20153,0200137,99,OFFICE WORKERS AT MINE SITE,"55,088 ",0 ,107 
2015,20154,0200137,03,"STRIP, QUARY, OPEN PIT","243,959 ",0 ,509 
2015,20154,0200137,30,MILL OPERATION/PREPARATION PLANT,"112,913 ",0 ,218 
2015,20154,0200137,99,OFFICE WORKERS AT MINE SITE,"48,654 ",0 ,99 
2014,20141,0200137,03,"STRIP, QUARY, OPEN PIT","277,774 ",0 ,572 
2014,20141,0200137,30,MILL OPERATION/PREPARATION PLANT,"115,892 ",0 ,234 
2014,20141,0200137,99,OFFICE WORKERS AT MINE SITE,"53,681 ",0 ,110 
2014,20142,0200137,03,"STRIP, QUARY, OPEN PIT","280,708 ",0 ,538 
2014,20142,0200137,30,MILL OPERATION/PREPARATION PLANT,"118,917 ",0 ,238 
2014,20142,0200137,99,OFFICE WORKERS AT MINE SITE,"54,494 ",0 ,105 
2014,20143,0200137,03,"STRIP, QUARY, OPEN PIT","278,778 ",0 ,539 
2014,20143,0200137,30,MILL OPERATION/PREPARATION PLANT,"125,204 ",0 ,240 
2014,20143,0200137,99,OFFICE WORKERS AT MINE SITE,"55,088 ",0 ,107 
2014,20144,0200137,03,"STRIP, QUARY, OPEN PIT","274,118 ",0 ,535 
2014,20144,0200137,30,MILL OPERATION/PREPARATION PLANT,"123,488 ",0 ,240 
2014,20144,0200137,99,OFFICE WORKERS AT MINE SITE,"54,219 ",0 ,106 
