Prod. Year,Prod Qtr.,Mine ID,Subunit,Type,Quarterly Hrs.,Coal Prod.,Avg. Empl Cnt.*
2016,20161,0200144,03,"STRIP, QUARY, OPEN PIT","129,068 ",0 ,240 
2016,20161,0200144,30,MILL OPERATION/PREPARATION PLANT,"200,810 ",0 ,380 
2016,20161,0200144,99,OFFICE WORKERS AT MINE SITE,"70,943 ",0 ,143 
2016,20162,0200144,03,"STRIP, QUARY, OPEN PIT","128,428 ",0 ,236 
2016,20162,0200144,30,MILL OPERATION/PREPARATION PLANT,"203,066 ",0 ,391 
2016,20162,0200144,99,OFFICE WORKERS AT MINE SITE,"70,143 ",0 ,138 
2016,20163,0200144,03,"STRIP, QUARY, OPEN PIT","127,089 ",0 ,234 
2016,20163,0200144,30,MILL OPERATION/PREPARATION PLANT,"196,608 ",0 ,374 
2016,20163,0200144,99,OFFICE WORKERS AT MINE SITE,"56,430 ",0 ,131 
2016,20164,0200144,03,"STRIP, QUARY, OPEN PIT","113,949 ",0 ,246 
2016,20164,0200144,30,MILL OPERATION/PREPARATION PLANT,"197,757 ",0 ,396 
2016,20164,0200144,99,OFFICE WORKERS AT MINE SITE,"56,367 ",0 ,125 
2015,20151,0200144,03,"STRIP, QUARY, OPEN PIT","192,089 ",0 ,371 
2015,20151,0200144,30,MILL OPERATION/PREPARATION PLANT,"356,183 ",0 ,697 
2015,20151,0200144,99,OFFICE WORKERS AT MINE SITE,"112,421 ",0 ,249 
2015,20152,0200144,03,"STRIP, QUARY, OPEN PIT","189,875 ",0 ,388 
2015,20152,0200144,30,MILL OPERATION/PREPARATION PLANT,"284,472 ",0 ,677 
2015,20152,0200144,99,OFFICE WORKERS AT MINE SITE,"123,315 ",0 ,303 
2015,20153,0200144,03,"STRIP, QUARY, OPEN PIT","194,840 ",0 ,372 
2015,20153,0200144,30,MILL OPERATION/PREPARATION PLANT,"357,556 ",0 ,700 
2015,20153,0200144,99,OFFICE WORKERS AT MINE SITE,"106,621 ",0 ,245 
2015,20154,0200144,03,"STRIP, QUARY, OPEN PIT","170,343 ",0 ,330 
2015,20154,0200144,30,MILL OPERATION/PREPARATION PLANT,"306,646 ",0 ,517 
2015,20154,0200144,99,OFFICE WORKERS AT MINE SITE,"99,023 ",0 ,265 
2014,20141,0200144,03,"STRIP, QUARY, OPEN PIT","179,880 ",0 ,356 
2014,20141,0200144,30,MILL OPERATION/PREPARATION PLANT,"361,940 ",0 ,753 
2014,20141,0200144,99,OFFICE WORKERS AT MINE SITE,"90,253 ",0 ,188 
2014,20142,0200144,03,"STRIP, QUARY, OPEN PIT","194,901 ",0 ,377 
2014,20142,0200144,30,MILL OPERATION/PREPARATION PLANT,"383,488 ",0 ,763 
2014,20142,0200144,99,OFFICE WORKERS AT MINE SITE,"79,069 ",0 ,198 
2014,20143,0200144,03,"STRIP, QUARY, OPEN PIT","198,610 ",0 ,387 
2014,20143,0200144,30,MILL OPERATION/PREPARATION PLANT,"340,271 ",0 ,744 
2014,20143,0200144,99,OFFICE WORKERS AT MINE SITE,"107,424 ",0 ,236 
2014,20144,0200144,03,"STRIP, QUARY, OPEN PIT","199,828 ",0 ,378 
2014,20144,0200144,30,MILL OPERATION/PREPARATION PLANT,"369,094 ",0 ,708 
2014,20144,0200144,99,OFFICE WORKERS AT MINE SITE,"96,985 ",0 ,241 
2013,20131,0200144,03,"STRIP, QUARY, OPEN PIT","372,866 ",0 ,349 
2013,20131,0200144,30,MILL OPERATION/PREPARATION PLANT,"216,542 ",0 ,783 
2013,20131,0200144,99,OFFICE WORKERS AT MINE SITE,"89,938 ",0 ,177 
2013,20132,0200144,03,"STRIP, QUARY, OPEN PIT","188,390 ",0 ,364 
2013,20132,0200144,30,MILL OPERATION/PREPARATION PLANT,"382,430 ",0 ,781 
