date,Mine ID,type,hrs
6/30/2006,200137,99,40810
9/30/2006,200137,3,219071
9/30/2006,200137,30,100281
9/30/2006,200137,99,43548
12/31/2006,200137,3,227081
12/31/2006,200137,30,104451
12/31/2006,200137,99,45210
3/31/2005,200137,3,190864
3/31/2005,200137,30,86439
3/31/2005,200137,99,37814
6/30/2005,200137,3,195927
6/30/2005,200137,30,88711
6/30/2005,200137,99,38814
9/30/2005,200137,3,195669
9/30/2005,200137,30,94551
9/30/2005,200137,99,39575
12/31/2005,200137,3,182595
12/31/2005,200137,30,96594
12/31/2005,200137,99,38071
3/31/2004,200137,3,165422
3/31/2004,200137,30,83021
3/31/2004,200137,99,33878
6/30/2004,200137,3,177915
6/30/2004,200137,30,87108
6/30/2004,200137,99,36139
9/30/2004,200137,3,185401
9/30/2004,200137,30,84211
9/30/2004,200137,99,36765
12/31/2004,200137,3,182892
12/31/2004,200137,30,82734
12/31/2004,200137,99,36222
3/31/2003,200137,3,160256
3/31/2003,200137,30,68340
3/31/2003,200137,99,31172
6/30/2003,200137,3,155681
6/30/2003,200137,30,69115
6/30/2003,200137,99,30654
9/30/2003,200137,3,159504
9/30/2003,200137,30,72182
9/30/2003,200137,99,31593
12/31/2003,200137,3,155000
12/31/2003,200137,30,74800
12/31/2003,200137,99,31336
3/31/2002,200137,3,146551
3/31/2002,200137,30,57153
3/31/2002,200137,99,27778
6/30/2002,200137,3,122119
6/30/2002,200137,30,48057
6/30/2002,200137,99,23206
9/30/2002,200137,3,147513
9/30/2002,200137,30,60194
9/30/2002,200137,99,28323
12/31/2002,200137,3,125888
12/31/2002,200137,30,58048
12/31/2002,200137,99,25082
3/31/2001,200137,3,183812
3/31/2001,200137,30,88815
3/31/2001,200137,99,37176
6/30/2001,200137,3,164168
6/30/2001,200137,30,76121
6/30/2001,200137,99,32767
9/30/2001,200137,3,197985
9/30/2001,200137,30,88365
9/30/2001,200137,99,39048
12/31/2001,200137,3,162937
12/31/2001,200137,30,70449
12/31/2001,200137,99,31826
3/31/2000,200137,3,203383
3/31/2000,200137,99,27734
6/30/2000,200137,3,161812
6/30/2000,200137,99,22065
9/30/2000,200137,3,186430
9/30/2000,200137,99,25422
12/31/2000,200137,3,163367
12/31/2000,200137,99,22277
3/31/1999,200137,3,162012
3/31/1999,200137,99,22093
6/30/1999,200137,3,188267
6/30/1999,200137,99,25673
9/30/1999,200137,3,171472
9/30/1999,200137,99,23383
12/31/1999,200137,3,197140
12/31/1999,200137,99,26883
3/31/1998,200137,3,157618
3/31/1998,200137,99,21493
6/30/1998,200137,3,174152
6/30/1998,200137,99,23748
9/30/1998,200137,3,158492
9/30/1998,200137,99,21612
12/31/1998,200137,3,181665
12/31/1998,200137,99,24773
3/31/1997,200137,3,193921
3/31/1997,200137,30,0
3/31/1997,200137,99,26444
6/30/1997,200137,3,188023
6/30/1997,200137,99,25639
9/30/1997,200137,3,170577
9/30/1997,200137,99,23260
12/31/1997,200137,3,190562
12/31/1997,200137,99,25986
3/31/1996,200137,3,140940
3/31/1996,200137,99,19219
6/30/1996,200137,3,164328
6/30/1996,200137,99,22408
9/30/1996,200137,3,149009
9/30/1996,200137,99,20319
12/31/1996,200137,3,159550
12/31/1996,200137,99,21757
3/31/1995,200137,3,127579
3/31/1995,200137,99,17397
6/30/1995,200137,3,152779
6/30/1995,200137,99,20834
9/30/1995,200137,3,140529
9/30/1995,200137,99,19163
12/31/1995,200137,3,151650
12/31/1995,200137,99,20679
3/31/1994,200137,3,147502
3/31/1994,200137,99,20113
6/30/1994,200137,3,149146
6/30/1994,200137,99,20338
9/30/1994,200137,3,186977
9/30/1994,200137,99,25497
12/31/1994,200137,3,140904
12/31/1994,200137,99,19214
3/31/1993,200137,3,202676
3/31/1993,200137,99,27638
6/30/1993,200137,3,184136
6/30/1993,200137,99,25110
9/30/1993,200137,3,200739
9/30/1993,200137,99,27373
12/31/1993,200137,3,174232
12/31/1993,200137,99,23759
3/31/1992,200137,3,221422
3/31/1992,200137,99,30194
6/30/1992,200137,3,183742
6/30/1992,200137,99,25056
9/30/1992,200137,3,220105
9/30/1992,200137,99,30014
12/31/1992,200137,3,217538
12/31/1992,200137,99,29664
3/31/1991,200137,3,209297
3/31/1991,200137,99,28540
6/30/1991,200137,3,190051
6/30/1991,200137,99,25916
9/30/1991,200137,3,229457
9/30/1991,200137,99,31289
12/31/1991,200137,3,189322
12/31/1991,200137,30,25817
3/31/1990,200137,3,194018
3/31/1990,200137,99,26457
6/30/1990,200137,3,170753
6/30/1990,200137,99,23283
9/30/1990,200137,3,206049
9/30/1990,200137,99,28098
12/31/1990,200137,3,175342
12/31/1990,200137,99,23910
3/31/1989,200137,3,101179
