,ActivityMediaSubdivisionName,ActivityStartDate,MonitoringLocationIdentifier,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,CharacteristicName,ResultMeasureValue
1099,Surface Water,2020-05-19,AZDEQ_SW-2439,31.5167778,-110.7843056,Magnesium,26.0
1113,Surface Water,2020-05-19,AZDEQ_SW-2439,31.5167778,-110.7843056,Magnesium,25.0
1319,Surface Water,2020-04-30,AZDEQ_SW-2440,34.4535,-112.3064722,Magnesium,17.0
1320,Surface Water,2020-04-30,AZDEQ_SW-2440,34.4535,-112.3064722,Magnesium,17.0
1321,Surface Water,2020-04-30,AZDEQ_SW-2440,34.4535,-112.3064722,Magnesium,17.0
1327,Surface Water,2020-04-30,AZDEQ_SW-2440,34.4535,-112.3064722,Magnesium,16.0
995,Surface Water,2021-04-15,AZDEQ_SW-2446,32.82925,-110.7050278,Magnesium,31.0
1020,Surface Water,2021-04-15,AZDEQ_SW-2446,32.82925,-110.7050278,Magnesium,30.0
1395,Surface Water,2021-03-26,AZDEQ_SW-2626,34.4253056,-112.4253333,Magnesium,12.0
1396,Surface Water,2021-03-26,AZDEQ_SW-2626,34.4253056,-112.4253333,Magnesium,12.0
1163,Surface Water,2020-07-07,AZDEQ_SW-264,33.9379444,-112.6996944,Magnesium,23.0
1164,Surface Water,2020-07-07,AZDEQ_SW-264,33.9379444,-112.6996944,Magnesium,23.0
1257,Surface Water,2020-05-06,AZDEQ_SW-267,34.4261389,-112.4335,Magnesium,20.0
1287,Surface Water,2020-05-06,AZDEQ_SW-267,34.4261389,-112.4335,Magnesium,19.0
1039,Surface Water,2021-11-17,AZDEQ_SW-267,34.4261389,-112.4335,Magnesium,29.0
1313,Surface Water,2020-02-19,AZDEQ_SW-2673,32.7528556,-110.4770583,Magnesium,18.0
1314,Surface Water,2020-02-19,AZDEQ_SW-2673,32.7528556,-110.4770583,Magnesium,18.0
1080,Surface Water,2020-02-19,AZDEQ_SW-2675,32.7491667,-110.4988778,Magnesium,27.0
1081,Surface Water,2020-02-19,AZDEQ_SW-2675,32.7491667,-110.4988778,Magnesium,27.0
1082,Surface Water,2020-02-19,AZDEQ_SW-2676,32.7488444,-110.4995194,Magnesium,27.0
1083,Surface Water,2020-02-19,AZDEQ_SW-2676,32.7488444,-110.4995194,Magnesium,27.0
1114,Surface Water,2020-11-18,AZDEQ_SW-28,35.1983333,-114.5686111,Magnesium,25.0
1328,Surface Water,2020-01-28,AZDEQ_SW-283,34.8952228,-112.2054456,Magnesium,16.0
1383,Surface Water,2020-03-12,AZDEQ_SW-295,31.4415,-109.9189722,Magnesium,12.0
1484,Surface Water,2020-03-18,AZDEQ_SW-295,31.4415,-109.9189722,Magnesium,8.0
1467,Surface Water,2020-11-24,AZDEQ_SW-304,33.7715347,-109.1873933,Magnesium,8.9
1352,Surface Water,2020-01-07,AZDEQ_SW-310,33.822965,-110.86081,Magnesium,14.0
1019,Surface Water,2020-09-01,AZDEQ_SW-310,33.822965,-110.86081,Magnesium,30.0
1264,Surface Water,2020-09-11,AZDEQ_SW-344,36.4081783,-112.0786444,Magnesium,20.0
1231,Surface Water,2020-11-17,AZDEQ_SW-344,36.4081783,-112.0786444,Magnesium,21.0
1232,Surface Water,2021-05-11,AZDEQ_SW-344,36.4081783,-112.0786444,Magnesium,21.0
1487,Surface Water,2020-02-19,AZDEQ_SW-348,34.4210325,-111.4409,Magnesium,7.8
1189,Surface Water,2020-02-20,AZDEQ_SW-418,34.5386111,-111.6941667,Magnesium,22.0
1384,Surface Water,2021-03-26,AZDEQ_SW-457,34.4255814,-112.4257236,Magnesium,12.0
1385,Surface Water,2021-03-26,AZDEQ_SW-457,34.4255814,-112.4257236,Magnesium,12.0
942,Surface Water,2020-08-01,AZDEQ_SW-460,31.4802206,-110.7368017,Magnesium,34.0
959,Surface Water,2020-08-01,AZDEQ_SW-460,31.4802206,-110.7368017,Magnesium,33.0
1165,Surface Water,2020-08-01,AZDEQ_SW-460,31.4802206,-110.7368017,Magnesium,23.0
980,Surface Water,2020-08-02,AZDEQ_SW-460,31.4802206,-110.7368017,Magnesium,32.0
382,Surface Water,2020-08-31,AZDEQ_SW-460,31.4802206,-110.7368017,Magnesium,75.0
1072,Surface Water,2020-08-15,AZDEQ_SW-462,31.4733181,-110.7328167,Magnesium,27.0
850,Surface Water,2020-08-31,AZDEQ_SW-462,31.4733181,-110.7328167,Magnesium,38.0
904,Surface Water,2020-08-01,AZDEQ_SW-471,31.4837511,-110.7377242,Magnesium,35.0
960,Surface Water,2020-08-01,AZDEQ_SW-471,31.4837511,-110.7377242,Magnesium,33.0
1021,Surface Water,2020-08-01,AZDEQ_SW-471,31.4837511,-110.7377242,Magnesium,30.0
864,Surface Water,2020-08-02,AZDEQ_SW-471,31.4837511,-110.7377242,Magnesium,37.0
291,Surface Water,2020-08-31,AZDEQ_SW-471,31.4837511,-110.7377242,Magnesium,91.0
292,Surface Water,2020-08-31,AZDEQ_SW-471,31.4837511,-110.7377242,Magnesium,91.0
1623,Surface Water,2020-05-18,AZDEQ_SW-473,31.4767444,-110.7733208,Magnesium,5.2
1635,Surface Water,2020-05-18,AZDEQ_SW-473,31.4767444,-110.7733208,Magnesium,5.1
1329,Surface Water,2021-11-17,AZDEQ_SW-494,34.4329444,-112.4203333,Magnesium,16.0
997,Surface Water,2020-02-19,AZDEQ_SW-496,32.7482306,-110.5042931,Magnesium,31.0
998,Surface Water,2020-02-19,AZDEQ_SW-496,32.7482306,-110.5042931,Magnesium,31.0
999,Surface Water,2020-02-19,AZDEQ_SW-496,32.7482306,-110.5042931,Magnesium,31.0
1000,Surface Water,2020-02-19,AZDEQ_SW-496,32.7482306,-110.5042931,Magnesium,31.0
1765,Surface Water,2020-03-05,AZDEQ_SW-499,33.9908056,-109.4531944,Magnesium,3.5
1409,Surface Water,2020-04-07,AZDEQ_SW-532,34.6258442,-113.2166667,Magnesium,11.0
1365,Surface Water,2020-01-24,AZDEQ_SW-562,33.3254453,-110.9238911,Magnesium,13.0
1366,Surface Water,2020-01-24,AZDEQ_SW-562,33.3254453,-110.9238911,Magnesium,13.0
1367,Surface Water,2020-01-24,AZDEQ_SW-562,33.3254453,-110.9238911,Magnesium,13.0
1371,Surface Water,2020-01-24,AZDEQ_SW-562,33.3254453,-110.9238911,Magnesium,13.0
1354,Surface Water,2020-03-11,AZDEQ_SW-562,33.3254453,-110.9238911,Magnesium,14.0
1368,Surface Water,2020-03-11,AZDEQ_SW-562,33.3254453,-110.9238911,Magnesium,13.0
1369,Surface Water,2020-03-11,AZDEQ_SW-562,33.3254453,-110.9238911,Magnesium,13.0
1370,Surface Water,2020-03-11,AZDEQ_SW-562,33.3254453,-110.9238911,Magnesium,13.0
1372,Surface Water,2020-03-11,AZDEQ_SW-562,33.3254453,-110.9238911,Magnesium,13.0
1386,Surface Water,2020-03-11,AZDEQ_SW-562,33.3254453,-110.9238911,Magnesium,12.0
1387,Surface Water,2020-03-11,AZDEQ_SW-562,33.3254453,-110.9238911,Magnesium,12.0
1388,Surface Water,2020-03-11,AZDEQ_SW-562,33.3254453,-110.9238911,Magnesium,12.0
1389,Surface Water,2020-03-11,AZDEQ_SW-562,33.3254453,-110.9238911,Magnesium,12.0
1390,Surface Water,2020-03-11,AZDEQ_SW-562,33.3254453,-110.9238911,Magnesium,12.0
1763,Surface Water,2020-01-24,AZDEQ_SW-571,33.3464725,-110.9451139,Magnesium,3.5
1784,Surface Water,2020-01-24,AZDEQ_SW-571,33.3464725,-110.9451139,Magnesium,3.3
